Austria;1965;744995;10.29
Austria;1960;806643;10.29
Belgium;2015;1387940;12.28
Belgium;2010;1052844;9.63
Belgium;2005;870862;8.25
Belgium;2000;853369;8.31
Belgium;1995;885278;8.71
Belgium;1990;891537;8.93
Belgium;1985;871821;8.93
Belgium;1980;896823;8.93
Belgium;1975;820201;8.93
Belgium;1970;695361;8.93
Belgium;1965;606859;8.93
Belgium;1960;441555;8.93
South Korea;2015;1387940;12.28
South Korea;2010;1052844;9.63
South Korea;2005;870862;8.25
South Korea;2000;853369;8.31
South Korea;1995;885278;8.71
South Korea;1990;891537;8.93
South Korea;1985;871821;8.93
South Korea;1980;896823;8.93
South Korea;1975;820201;8.93
South Korea;1970;695361;8.93
South Korea;1965;606859;8.93
South Korea;1960;441555;8.93
Greece;2015;1242514;11.34
Greece;2010;1269749;11.36
Greece;2005;1190707;10.76
Greece;2000;1111665;10.15
Greece;1995;857850;8.06
Greece;1990;618139;6.10
Greece;1985;309261;6.10
Greece;1980;171755;6.10
Greece;1975;123472;6.10
Greece;1970;89572;6.10
Greece;1965;68707;6.10
Greece;1960;52495;6.10
New Zealand;2015;1039736;22.96
New Zealand;2010;947443;21.69
New Zealand;2005;839952;20.31
New Zealand;2000;678813;17.59
New Zealand;1995;588617;16.02
New Zealand;1990;518047;15.25
New Zealand;1985;480043;15.25
New Zealand;1980;470394;15.25
New Zealand;1975;492857;15.25
New Zealand;1970;409446;15.25
New Zealand;1965;386145;15.25
New Zealand;1960;333859;15.25
Portugal;2015;837257;8.09
Portugal;2010;762825;7.21
Portugal;2005;771184;7.36
Portugal;2000;651472;6.34
Portugal;1995;532822;5.29
Portugal;1990;435782;4.41
Portugal;1985;346232;4.41
Portugal;1980;265543;4.41
Portugal;1975;164280;4.41
Portugal;1970;101633;4.41
Portugal;1965;62876;4.41
Portugal;1960;38899;4.41
Ireland;2015;746260;15.92
Ireland;2010;730542;15.82
Ireland;2005;589046;14.01
Ireland;2000;350552;9.13
Ireland;1995;226892;6.22
Ireland;1990;227961;6.40
Ireland;1985;225285;6.40
Ireland;1980;223238;6.40
Ireland;1975;171429;6.40
Ireland;1970;130411;6.40
Ireland;1965;94397;6.40
Ireland;1960;73019;6.40
Norway;2015;741813;14.24
Norway;2010;526799;10.77
Norway;2005;361144;7.81
Norway;2000;292440;6.51
Norway;1995;233302;5.35
Norway;1990;192587;4.54
Norway;1985;147660;4.54
Norway;1980;123248;4.54
Norway;1975;98597;4.54
Norway;1970;78507;4.54
Norway;1965;69216;4.54
Norway;1960;61591;4.54
Bahrain;2015;704137;51.13
Bahrain;2010;657856;52.16
Bahrain;2005;404018;46.60
Bahrain;2000;239361;35.89
Bahrain;1995;205979;36.54
Bahrain;1990;173212;34.93
Bahrain;1985;137052;34.93
Bahrain;1980;103466;34.93
Bahrain;1975;60092;34.93
Bahrain;1970;37946;34.93
Bahrain;1965;38357;34.93
Bahrain;1960;26733;34.93
Poland;2015;619403;1.60
Poland;2010;642417;1.67
Poland;2005;722509;1.88
Poland;2000;825251;2.14
Poland;1995;964725;2.50
Poland;1990;1127771;2.95
Poland;1985;1319912;2.95
Poland;1980;1544789;2.95
Poland;1975;1807979;2.95
Poland;1970;2088027;2.95
Poland;1965;2249668;2.95
Poland;1960;2424881;2.95
Croatia;2015;576883;13.60
Croatia;2010;573248;13.28
Croatia;2005;579273;13.23
Croatia;2000;585298;13.22
Croatia;1995;674085;14.60
Croatia;1990;475438;9.95
Denmark;2015;572520;10.10
Denmark;2010;509740;9.18
Denmark;2005;440383;8.13
Denmark;2000;371026;6.95
Denmark;1995;303108;5.79
Denmark;1990;235189;4.58
Denmark;1985;195793;4.58
Denmark;1980;163769;4.58
Denmark;1975;138684;4.58
Denmark;1970;117442;4.58
